,timik1q2009,timik_twin,xi_1.00,xi_200_prct,xi_50_prct,xi_0.01,150_prct_actors,125_prct_actors,75_prct_actors,50_prct_actors,r_1.000,r_0.667,r_0.333,r_0.001
actors,61664.0,57898.0,57898.0,57898.0,57898.0,57898.0,86836.55,72376.55,43422.8,28945.25,57898.0,57898.0,57898.0,57898.0
layers,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
nodes,34044.0,34059.33333333334,34059.33333333334,34059.33333333334,34059.33333333334,34059.33333333334,51089.33333333334,42574.66666666666,25545.0,17030.0,34059.33333333334,34059.33333333334,34059.33333333334,34059.33333333334
edges,291730.3333333333,344058.8666666667,344058.8666666667,344058.8666666667,344058.8666666667,344058.8666666667,538216.1166666668,447980.1,257981.05,171988.10000000003,344058.8666666667,344058.8666666667,344058.88333333336,344058.8666666667
degree,17.13842870011358,20.203499774902618,20.203499774902618,20.203499774902618,20.203499774902618,20.203499774902618,21.069608137380275,21.04444427045818,20.198164024270895,20.198250146799765,20.203499774902618,20.203499774902618,20.203500753586873,20.203499774902618
density,0.0003941864839833542,0.0009026083722503865,0.0009026083722503865,0.0009026083722503865,0.0009026083722503865,0.0009026083722503865,0.0006110703839223108,0.000733455876642525,0.0012023563644120547,0.0018066670674833848,0.0009026083722503865,0.0009026083722503865,0.0009026083927843806,0.0009026083722503865
components,330.3333333333333,1.0,1.0,1.0,1.0,7.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clustering_coeff,0.05580904734875053,0.07618084794118621,0.001783603783652951,0.006788089354909173,0.15644164854817919,0.27106277642469323,0.07626097728563938,0.07570602715700075,0.07527309924780945,0.07609601781494937,0.07624295583056906,0.07622446491377367,0.07617652076660275,0.07629443395579474
