iter,n,l,elapsed
7,32768,4,3048.904102750006
8,32768,4,3052.996984915997
9,32768,4,3035.547570875002
0,32768,5,3840.6606509590056
1,32768,5,3817.527588083991
2,32768,5,3830.123229667006
3,32768,5,3818.713676708998
4,32768,5,3811.478689459007
5,32768,5,3805.72727725
6,32768,5,3818.133327417003
7,32768,5,3806.350156166998
8,32768,5,3818.6491405419947
9,32768,5,3808.1475836669997
