iter,n,l,active_time,degree_sampling_time,coms_sampling_time,edges_gen_time,edges_correlation_time
1,1024,2,4.291534423828125e-5,0.001772165298461914,0.0010938644409179688,0.0010640621185302734,0.02713298797607422
2,1024,2,6.508827209472656e-5,0.0018508434295654297,0.0009481906890869141,0.0010159015655517578,0.026678085327148438
3,1024,2,4.315376281738281e-5,0.00179290771484375,0.0010368824005126953,0.0010571479797363281,0.026958942413330078
4,1024,2,4.506111145019531e-5,0.0018799304962158203,0.001085042953491211,0.0010199546813964844,0.027882099151611328
5,1024,2,4.506111145019531e-5,0.0017769336700439453,0.0009601116180419922,0.0008990764617919922,0.026146888732910156
6,1024,2,5.817413330078125e-5,0.001912832260131836,0.0009090900421142578,0.0009479522705078125,0.02276301383972168
7,1024,2,4.315376281738281e-5,0.001798868179321289,0.0009691715240478516,0.0009949207305908203,0.02667403221130371
8,1024,2,5.1021575927734375e-5,0.0017938613891601562,0.0012211799621582031,0.0010199546813964844,0.02649092674255371
9,1024,2,5.1975250244140625e-5,0.001834869384765625,0.003844022750854492,0.0010449886322021484,0.02044510841369629
10,1024,2,5.2928924560546875e-5,0.0019440650939941406,0.0013670921325683594,0.0010149478912353516,0.022594928741455078
1,1024,3,5.316734313964844e-5,0.0026128292083740234,0.0014519691467285156,0.0015060901641845703,0.05530691146850586
2,1024,3,5.412101745605469e-5,0.0038919448852539062,0.00156402587890625,0.0015749931335449219,0.05911898612976074
3,1024,3,5.2928924560546875e-5,0.0025949478149414062,0.0020940303802490234,0.0016009807586669922,0.05652904510498047
4,1024,3,5.507469177246094e-5,0.0026140213012695312,0.0014600753784179688,0.0016019344329833984,0.05445694923400879
5,1024,3,5.412101745605469e-5,0.0026569366455078125,0.0015649795532226562,0.002048969268798828,0.05398392677307129
6,1024,3,4.887580871582031e-5,0.003303050994873047,0.001489877700805664,0.0015270709991455078,0.055480003356933594
7,1024,3,6.008148193359375e-5,0.002683877944946289,0.0013339519500732422,0.001341104507446289,0.05675697326660156
8,1024,3,5.602836608886719e-5,0.0027179718017578125,0.0014619827270507812,0.001435995101928711,0.05522894859313965
9,1024,3,5.3882598876953125e-5,0.002637147903442383,0.0017788410186767578,0.0017809867858886719,0.05574798583984375
10,1024,3,5.888938903808594e-5,0.0026721954345703125,0.0014078617095947266,0.0014760494232177734,0.050232887268066406
1,1024,4,6.198883056640625e-5,0.004188060760498047,0.0021240711212158203,0.002460956573486328,0.1004331111907959
