q,tau,r,gamma,delta,Delta,beta,s,S,xi
1.0,1.0,1.0,4.1103594081042365,2.0,37.0,3.8698034071706005,4.0,15.0,0.376
1.0,0.65,0.4,12.976256914342882,2.0,10.0,3.5590694838946817,3.0,13.0,0.207
