,1,8,10,14,24,30,2,6,15,19,28,29,33,37,39,3,13,25,26,27,32,35,4,11,17,31,5,12,18,22,7,20,21,40,9,23,38,41,16,36,34
ego,5,4,6,5,7,3,9,6,8,5,6,7,5,7,5,7,6,5,10,9,9,7,5,5,2,5,8,7,7,5,5,3,3,7,5,4,3,4,3,4,6
course,9,9,13,15,6,8,11,11,2,7,12,6,5,10,17,37,3,10,8,6,7,5,10,7,5,10,6,3,7,5,6,8,15,13,9,4,6,3,10,9,9
